,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
0,862,Toy Story,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",30000000, Animation Comedy Family,1995-10-30,21.946943,373554033.0,John Lasseter, Tom Hanks Tim Allen Don Rickles, jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life
1,8844,Jumanji,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",65000000, Adventure Fantasy Family,1995-12-15,17.015539,262797249.0,Joe Johnston, Robin Williams Jonathan Hyde Kirsten Dunst, board game disappearance based on children's book new home recluse giant insect
3,31357,Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",16000000, Comedy Drama Romance,1995-12-22,3.859495,81452156.0,Forest Whitaker, Whitney Houston Angela Bassett Loretta Devine, based on novel interracial relationship single mother divorce chick flick
4,11862,Father of the Bride Part II,/e64sOI48hQXyru7naBFyssKFxVd.jpg,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",0, Comedy,1995-02-10,8.387519,76578911.0,Charles Shyer, Steve Martin Diane Keaton Martin Short, baby midlife crisis confidence aging daughter mother daughter relationship pregnancy contraception gynecologist
5,949,Heat,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",60000000, Action Crime Drama Thriller,1995-12-15,17.924927,187436818.0,Michael Mann, Al Pacino Robert De Niro Val Kilmer, robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang cat and mouse criminal mastermind cult film ex-con heist movie one last job loner bank job neo-noir gun fight crime epic
8,9091,Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",35000000, Action Adventure Thriller,1995-12-22,5.23158,64350171.0,Peter Hyams, Jean-Claude Van Damme Powers Boothe Dorian Harewood, terrorist hostage explosive vice president
9,710,GoldenEye,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,58000000, Adventure Action Thriller,1995-11-16,14.686036,352194034.0,Martin Campbell, Pierce Brosnan Sean Bean Izabella Scorupco, cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army
10,9087,The American President,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",62000000, Comedy Drama Romance,1995-11-17,6.318445,107879496.0,Rob Reiner, Michael Douglas Annette Bening Michael J. Fox, white house usa president new love widower wildlife conservation
12,21032,Balto,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",0, Family Animation Adventure,1995-12-22,12.140733,11348324.0,Simon Wells, Kevin Bacon Bob Hoskins Bridget Fonda, wolf dog-sledding race alaska dog goose bear attack dog sled frozen lake
13,10858,Nixon,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",44000000, History Drama,1995-12-22,5.092,13681765.0,Oliver Stone, Anthony Hopkins Joan Allen Powers Boothe, usa president presidential election watergate scandal biography government historical figure
14,1408,Cutthroat Island,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",98000000, Action Adventure,1995-12-22,7.284477,10017322.0,Renny Harlin, Geena Davis Matthew Modine Frank Langella, exotic island treasure map ship scalp pirate
15,524,Casino,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,52000000, Drama Crime,1995-11-22,10.137389,116112375.0,Martin Scorsese, Robert De Niro Sharon Stone Joe Pesci, poker drug abuse 1970s overdose illegal prostitution
16,4584,Sense and Sensibility,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",16500000, Drama Romance,1995-12-13,10.673167,135000000.0,Ang Lee, Kate Winslet Emma Thompson Hugh Grant, bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum
17,5,Four Rooms,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,4000000, Crime Comedy,1995-12-09,9.026586,4300000.0,Allison Anders, Tim Roth Antonio Banderas Jennifer Beals, hotel new year's eve witch bet hotel room sperm los angeles hoodlum woman director episode film
18,9273,Ace Ventura: When Nature Calls,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",30000000, Crime Comedy Adventure,1995-11-10,8.205448,212385533.0,Steve Oedekerk, Jim Carrey Ian McNeice Simon Callow, africa indigenous human animal relationship bat
